Topic,pcs
1,30
2,106
3,33
4,22
5,26
6,38
7,23
8,9
9,22
10,5
11,43
12,57
13,8
14,24
15,8
16,26
17,15
18,13
19,12
20,5
21,27
22,16
23,12
24,9
25,17
26,3
27,20
28,48
29,37
30,13
31,85
32,15
33,110
34,99
35,51
36,65
37,55
38,29
39,8
40,2
