Topic,pcs
1,144
2,37
3,18
4,12
5,76
6,113
7,60
8,24
9,51
10,68
11,19
12,22
13,5
14,16
15,1
16,18
17,8
18,14
19,6
20,62
21,1
22,103
23,5
24,1
25,11
26,2
27,88
28,1
29,80
30,7
31,67
32,82
33,3
34,18
35,3
