Topic,pcs
1,3
2,4
3,93
4,26
5,175
6,36
7,87
8,2
9,3
10,115
11,54
12,3
13,3
14,18
15,17
16,4
17,12
18,67
19,57
20,176
21,29
22,64
23,21
24,2
25,175
