Topic,pcs
1,35
2,19
3,41
4,19
5,42
6,13
7,12
8,38
9,54
10,21
11,10
12,275
13,17
14,19
15,12
16,34
17,14
18,21
19,43
20,30
21,66
22,29
23,21
24,59
25,11
26,156
27,8
28,15
29,12
30,9
31,28
32,7
33,18
34,32
35,6
