Topic,pcs
1,175
2,64
3,30
4,33
5,9
6,39
7,51
8,4
9,28
10,11
11,36
12,45
13,21
14,9
15,25
16,0
17,9
18,32
19,50
20,4
21,5
22,21
23,9
24,49
25,3
26,3
27,87
28,28
29,10
30,1
31,38
32,41
33,6
34,6
35,88
36,14
37,93
38,11
39,55
40,3
