Topic,pcs
1,37
2,29
3,60
4,131
5,53
6,19
7,27
8,9
9,17
10,24
11,22
12,11
13,32
14,16
15,11
16,15
17,18
18,13
19,20
20,10
21,62
22,12
23,17
24,9
25,91
26,104
27,4
28,66
29,22
30,63
31,107
32,6
33,75
34,32
35,2
