Topic,pcs
1,25
2,42
3,97
4,81
5,142
6,56
7,114
8,21
9,18
10,14
11,4
12,59
13,77
14,42
15,25
16,12
17,27
18,23
19,113
20,28
21,33
22,133
23,37
24,17
25,6
