Topic,pcs
1,136
2,30
3,62
4,99
5,24
6,46
7,22
8,22
9,52
10,11
11,25
12,18
13,24
14,37
15,26
16,20
17,42
18,17
19,54
20,12
21,30
22,10
23,218
24,86
25,12
26,2
27,63
28,32
29,12
30,2
