Topic,pcs
1,47
2,52
3,40
4,47
5,21
6,18
7,18
8,38
9,71
10,15
11,7
12,265
13,19
14,22
15,58
16,25
17,51
18,9
19,54
20,21
21,69
22,160
23,15
24,11
25,12
26,10
27,28
28,33
29,7
30,3
