Topic,pcs
1,54
2,42
3,33
4,11
5,17
6,15
7,18
8,6
9,15
10,26
11,39
12,299
13,26
14,12
15,4
16,15
17,8
18,9
19,70
20,6
21,22
22,57
23,24
24,13
25,7
26,13
27,22
28,51
29,42
30,12
31,138
32,11
33,4
34,11
35,17
36,29
37,31
38,6
39,4
40,7
