Topic,pcs
1,120
2,58
3,37
4,41
5,50
6,91
7,38
8,27
9,84
10,37
11,5
12,44
13,2
14,18
15,6
16,6
17,7
18,21
19,4
20,132
21,6
22,5
23,66
24,10
25,1
26,6
27,22
28,58
29,53
30,15
31,85
32,66
33,19
34,3
35,3
