Topic,pcs
1,155
2,78
3,47
4,23
5,51
6,9
7,23
8,22
9,7
10,30
11,6
12,6
13,12
14,7
15,24
16,9
17,52
18,53
19,3
20,36
21,8
22,6
23,3
24,92
25,7
26,0
27,10
28,14
29,140
30,99
31,3
32,2
33,7
34,4
35,0
36,28
37,80
38,70
39,18
40,2
