Topic,pcs
1,56
2,9
3,57
4,19
5,104
6,38
7,6
8,11
9,76
10,18
11,53
12,45
13,49
14,29
15,31
16,23
17,11
18,28
19,32
20,30
21,3
22,22
23,11
24,60
25,100
26,15
27,89
28,56
29,58
30,73
31,9
32,13
33,2
34,8
35,2
