Topic,pcs
1,12
2,107
3,42
4,40
5,38
6,45
7,18
8,38
9,3
10,30
11,73
12,12
13,18
14,45
15,75
16,56
17,20
18,53
19,39
20,29
21,55
22,10
23,79
24,56
25,7
26,96
27,91
28,44
29,13
30,2
