Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101
21,0.266206332118217,0.226470823700542,0.125729766870587,0.244611035545257,0.205928558807251,0.166099775930409,0.187251072069638,0.150103224811527,0.368316337681475,0.206595057423975,0.257958679115378,0.261158078049781,0.213646697858373,0.210711683462783,0.213919248017718,0.260203799810613,0.219393838257949,0.216820427847285,0.170180358227178,0.168427543396075,0.148582447539147,0.291062875669649,0.173788101040796,0.161101733839806,0.152500401893322,0.143119493912437,0.314496856931317,0.349086822994543,0.265179682225914,0.308057299117263,0.186665979351115,0.20748383159449,0.145695248936496,0.21365087439998,0.148522879874813,0.264665146796823,0.151329236746981,0.202993228593966,0.208331765495373,0.222395814376088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.196941388383898,0.18177871436404,0.146170239949683,0.21245248361506,0.143543405789614,0.194430815051937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.180471978110494,0.213479113957872,0.220815682238695,0.209710360000138,0.191247165858083,0.223911768068847,0.168551837928957,0.204542601792769,0.122261237921302,0.181602955978887,0.283396926354092,0.151705240423172,0.173428886002456,0.18701543995449,0.284849411508847,0.114093820012356,0.222800476247319,0.186999949351416,0.131455383702594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.587790179981465,0.328056114543644,0.216024957816147,0.748559905993517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.1390939504475,0.154856718385095,0.217463719793982,0.485121480392401,0.179694282580385,0.181024174942064,0.244224595200786,0.204842278398548,0.216170205656028,0.156591574162154,0.221887596028966,0.159050514978874,0.20588896009631,0.114238285678998,0.179012624791903,0.170293385630913,0.155318115525691,0.335259466990609,0.163488285917171,0.22397067301459,0.174748556118487,0.14093509483366,0.307739749298967,0.238818923895086,0.288985405081909,0.204685171989526,0.16342506993716,0.277749809179173,0.145641129400006,0.122158599443358,0.207297074856828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.179170825860055,0.353299826038417,0.294641985766705,0.120001863351831,0.179486797164317,0.250121569251916,0.264179573302855,0.173366391476174,0.354002822389198,0.14008870485411,0.187750801658125,0.162974208279201,0.303066330847181,0.395872529269207,0.541617968157959,0.256349954704463,0.283957891373585,0.161346577263992,0.523896694752868,0.205652348667548,0.36953652722672,0.263299007178118,0.536114227011437,0.382411956795064,0.410766000945175,0.124252904523447,0.246069074697099,0.518309750667141,0.52303318211014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.14984554534523,0.181520062118834,0.130512200611367,0.143041573551482,0.162518038721266,0.19681863791442,0.190805617206979,0.316797729452598,0.184353164160624,0.172958719184724,0.129506754116542,0.162612175719089,0.287277366760418,0.162155681913534,0.189491958846935,0.299087257747039,0.22444727034602,0.204494494775001,0.28022796287642,0.287187883308517,0.20178155697327,0.164063637047746,0.173788181857099,0.200537910466655,0.225608598371171,0.110598336679347,0.189832225122434,0.218670918682759,0.195243451581976,0.164164510828985,0.317584529162753,0.146043902139794,0.151538040376149,0.145872504644284,0.198650564827998,0.201119389478639,0.20457235127427,0.163647816790881,0.171996401052695,0.1257492680298,0.249689139436147,0.327930703703119,0.262296681137796,0.14963431901397,0.265474204388732,0.172109223838285,0.240420514739801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.13823001922828,0.196830338239976,0.602220527424809,0.11529806612787,0.236682297052591,0.199425590150339,0.198365426693156,0.211593020074532,0.161918947144141,0.237458862491396,0.099455382968183,0.181892711977878,0.205857697900364,0.195814341494746,0.210985121434041,0.115050721866188,0.209730435521088,0.191884638463467,0.157513848776286,0.126788404174177,0.185164655794607,0.157908915522593,0.0990157647799343,0.237392835596478,0.240797731810985,0.235833659313988,0.185075019709952,0.182501721410241,0.126980320105126,0.246903454253664,0.151477582831247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.23455054946419,0.182887301405772,0.203500621013191,0.224942312404925,0.302478253251794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.159251154677068,0.243073039417608,0.125360279464377,0.197220787007533,0.295918870668281,0.306360966070776,0.410410839068484,0.369358810537798,0.142794736534889,0.134860850892203,0.238719748607394,0.37924686090155,0.375588910300495,0.179327133684359,0.173473659010048,0.267277858608408,0.346510630536878,0.254950249717504,0.184426886885359,0.153458056300332,0.21925503793336,0.354750824486949,0.259589702426917,0.209646176153552,0.490455101535205,0.454372926198956,0.270097094647621,0.226308332148943,0.310121790195293,0.218819132928864,0.230641612484655,0.318132150766678,0.338931728206849,0.322690285916154,0.249383777564494,0.203151762623375,0.211284424457117,0.312358648105415,0.205710417437148,0.346005127520458,0.236452334412935,0.157201561401582,0.16489354696097,0.154915076830701,0.213204268860105,0.292674623202101,0.230504330455081,0.295392906525504,0.27087556523154,0.232293039456844,0.172080496438913,0.182723523467905,0.257080419021486,0.426105640410536,0.162665762210319,0.166617766781211,0.466935320455793,0.111151189363268,0.544030894778908,0.504496891616065,0.288300585992959,0.224515166033837,0.311806445316756,0.113874973835945,0.205144977481528,0.32240374106563,0.173102450115194,0.251453273123915,0.239878429558302,0.28512586464935,0.234717900164177,0.228418102942388,0.274626816953377,0.271484631130524,0.129313298433545,0.219589400687934,0.250454888970756,0.195676573022556,0.155434322864738,0.261393526962083,0.373209482785977,0.220502137846793,0.192865385782866,0.308793344307083,0.294358195811973,0.486763088022654,0.163686421914254,0.239977635395965,0.257343033931074,0.440341980018891,0.278666728653934,0.422365044213978,0.356524227246436,0.319297192569126,0.399162673742666,0.169176439493718,0.190691053894097,0.274589821502463,0.345253729984864,0.31796394480762,0.19942585712058
31,0.428956431709133,0.555429409033951,0.510198488799581,0.288352036754728,0.419213752874541,0.229234657817305,0.227821309686413,0.182652474583806,0.199073361423056,0.271143383296805,0.352809510722222,0.257560740808827,0.381860655301847,0.179995835783483,0.161335433416711,0.332485822122314,0.364153573743051,0.146081179375178,0.220830428387455,0.128156650218649,0.10795043639603,0.285468264173846,0.197471732501201,0.131739062488047,0.407500385291744,0.143416172407869,0.196688981256015,0.196204684761874,0.235472261009409,0.305763441721337,0.110440599964143,0.255034090680044,0.115167134303542,0.170091655483539,0.387240781950914,0.306918412787467,0.199744207170023,0.382824703571646,0.343043552938178,0.179696706015379,0.342806248738897,0.197956830273017,0.310651391731142,0.352547824876887,0.123304614857457,0.223171949706648,0.331797779387669,0.400998557231282,0.440350115244299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.330165163157075,0.341918401316093,0.318862002279643,0.111084732615369,0.241439286172738,0.298937601222361,0.213100943114076,0.312918716654089,0.250553483145126,0.433423719880827,0.398624364845815,0.460132091662269,0.416353798238311,0.155482554615935,0.381133951971756,0.101632197282486,0.137839319268152,0.306708839564433,0.1572649962874,0.260437943447445,0.183496755077573,0.419341234806581,0.277523670591991,0.393791216655297,0.30513081108322,0.283629469516137,0.19682206924185,0.448431499746609,0.110712986656396,0.290276870534266,0.327531090272655,0.228689253738956,0.160215059419234,0.130184707981248,0.352593519649581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.179719758325028,0.0997305717539204,0.170638998011514,0.154114891751981,0.154311581153909,0.261270876157775,0.235795503495896,0.228656713298918,0.26440949325083,0.11678221876621,0.279587675426705,0.173079029887817,0.200634866725767,0.150366884722623,0.141876492218633,0.183940853216327,0.139295635823358,0.155316292038919,0.289279743601557,0.118959579687784,0.276245325569373,0.170607419245072,0.243368811863294,0.207636873418122,0.13491041725316,0.207896318554681,0.199981142364697,0.173845212651123,0.203026521787508,0.512516846469801,0.201657549557421,0.297218435497237,0.253429884320072,0.205396720081597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.408959063057266,0.240165198105613,0.184819766657933,0.178825380943708,0.191161278999356,0.162776194596203,0.169231744419417,0.304269508243909,0.127903913801847,0.196928479188181,0.262693688385474,0.330074080973713,0.195497714671232,0.357095498450347,0.116223212798145,0.171335487201539,0.285456321535685,0.224432513809328,0.240468849463677,0.215578213543004,0.345347334228392,0.257726051749342,0.309633131592151,0.154033446597276,0.184276898827548,0.20068737277189,0.327050328631001,0.356781129195604,0.199631602081068,0.412155931025494,0.283716300773919,0.26909564686026,0.392478435064685,0.136545839388691,0.30419969550315,0.162395133114592,0.240466176834115,0.148926287359888,0.360916087773659,0.221661473165692,0.24833764744871,0.221947053424192,0.245028558551,0.305466508351825,0.282200653939817,0.357040576147776,0.283989141179618,0.220958016420477,0.258706129591199,0.33304537001299,0.227338720123072,0.351352679721062,0.240916830617674,0.281117524407118,0.217149727319425,0.354883020997972,0.306941162042857,0.358319131214674,0.343327620675017,0.212897840151021,0.118628825683144,0.296231854466293,0.167351564722007,0.194104647972374,0.354566711595155,0.168756808653108,0.225382307992216,0.27915146342211,0.26487123985735,0.212451814432576,0.390840327489202,0.193880469543454,0.261456609856973,0.35174141426968,0.260846897185519,0.211534379639246,0.24491680276491,0.30610940110474,0.274994538331216,0.257393410067572,0.126230957918164,0.333111069236313,0.352295496691447,,,,,,,,,,,,,,,,,,
35,0.499747161127893,0.266106807686404,0.167386234524991,0.0954580846819898,0.239084221752626,0.430307673356095,0.474002292380238,0.259033082475829,0.105100233691219,0.284901104188338,0.486502542415407,0.352109295502255,0.215939562449746,0.204710957106842,0.33605031896991,0.334088650488621,0.156188555714665,0.244420219811929,0.390906106555888,0.449053404434132,0.431358747260312,0.333069734479678,0.388741958187301,0.238363026249288,0.174964255019762,0.251064903648173,0.194528332535069,0.390479370058364,0.495789675970599,0.294726258567179,0.116268225613539,0.165073510275907,0.180300416453325,0.27574900070446,0.276158345908526,0.399336721979147,0.287466717328112,0.445349290225292,0.228332903838993,0.473045515274551,0.251612174757903,0.134476249413896,0.337454864892586,0.356019154145363,0.338962195425324,0.300176706414544,0.510014876626522,0.342445495653549,0.383273227945709,0.377063278109604,0.509034295919837,0.397864086451776,0.110379828352032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
