Topic,pcs
1,69
2,13
3,25
4,20
5,17
6,71
7,11
8,42
9,64
10,36
11,11
12,51
13,34
14,18
15,3
16,36
17,10
18,14
19,42
20,3
21,40
22,6
23,19
24,4
25,31
26,29
27,47
28,31
29,5
30,101
31,49
32,35
33,34
34,83
35,53
36,53
37,14
38,10
39,11
40,1
