Topic,pcs
1,152
2,14
3,36
4,24
5,68
6,32
7,88
8,24
9,37
10,60
11,48
12,35
13,28
14,8
15,5
16,28
17,78
18,65
19,74
20,112
21,78
22,75
23,64
24,11
25,2
